timestamp,city,pm25,temperature,humidity,wind_speed,traffic_speed,free_flow_speed,traffic_congestion,hour_of_day,is_rush_hour,is_weekend,pm25_rolling_mean_3h,pm25_rolling_mean_6h,pm25_rolling_mean_24h,congestion_rolling_mean_6h,pm25_trend,congestion_trend,pm25_rate_of_change,congestion_rate_of_change,wind_dispersion,weather_stress,risk_score,risk_label,risk_driver,risk_score_mean_24h,risk_score_max_24h,risk_component_aqi,risk_component_traffic,risk_component_weather,is_traffic_anomaly,anomaly_severity,anomaly_direction,congestion_zscore,anomaly_count_24h,last_anomaly_timestamp,forecast_available,pm25_forecast_mean_24h,pm25_forecast_max_24h,pm25_forecast_peak_h
2026-03-27 10:00:00+00:00,New York,6.03,8.66,56,8.08,17.9,25.2,28.97,10,0,0,8.95,8.248,6.663,34.062,1,1,-3.77,-20.04,0.737,0.0409,12.77,Low,Traffic,11.87,21.43,0.0161,0.1014,0.0102,0,Normal,Normal,0.207,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 11:00:00+00:00,New York,5.9,9.18,54,8.53,18.4,25.3,27.27,11,0,0,7.243,8.307,6.609,36.15,1,1,-0.13,-1.7,0.684,0.0284,11.82,Low,Traffic,11.87,21.43,0.0157,0.0954,0.0071,0,Normal,Normal,0.078,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 12:00:00+00:00,New York,5.28,8.57,58,8.11,20.7,24.9,16.87,12,0,0,5.737,8.262,6.52,36.162,-1,1,-0.62,-10.4,0.643,0.0455,8.45,Low,Traffic,11.64,21.43,0.0141,0.059,0.0114,0,Normal,Normal,-0.69,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 13:00:00+00:00,New York,5.85,8.63,61,8.33,19.0,25.2,24.6,13,0,0,5.677,7.313,6.478,32.058,-1,-1,0.57,7.73,0.694,0.0491,11.4,Low,Traffic,11.62,21.43,0.0156,0.0861,0.0123,0,Normal,Normal,-0.079,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 14:00:00+00:00,New York,6.35,8.16,57,8.92,19.5,24.8,21.37,14,0,0,5.827,6.535,6.471,28.015,-1,-1,0.5,-3.23,0.704,0.0297,9.91,Low,Traffic,11.52,21.43,0.0169,0.0748,0.0074,0,Normal,Normal,-0.331,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 15:00:00+00:00,New York,4.16,8.14,59,9.87,18.8,25.3,25.69,15,0,0,5.453,5.595,6.342,24.128,-1,-1,-2.19,4.32,0.417,0.0213,10.63,Low,Traffic,11.47,21.43,0.0111,0.0899,0.0053,0,Normal,Normal,0.03,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 16:00:00+00:00,New York,4.13,8.9,58,10.74,20.1,25.1,19.92,16,0,0,4.88,5.278,6.226,22.62,-1,-1,-0.03,-5.77,0.381,0.0093,8.3,Low,Traffic,11.31,21.43,0.011,0.0697,0.0023,0,Normal,Normal,-0.454,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 17:00:00+00:00,New York,4.13,8.42,57,9.76,14.3,25.2,43.25,17,1,0,4.14,4.983,6.121,25.283,-1,-1,0.0,23.33,0.419,0.0184,16.7,Low,Traffic,11.58,21.43,0.011,0.1514,0.0046,0,Normal,Normal,1.471,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 18:00:00+00:00,New York,10.01,9.83,53,9.5,13.2,23.7,44.3,18,1,0,6.09,5.772,6.306,29.855,1,1,5.88,1.05,1.043,0.0129,18.49,Low,Traffic,11.9,21.43,0.0267,0.155,0.0032,0,Normal,Normal,1.439,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 19:00:00+00:00,New York,8.47,9.85,53,10.15,12.9,26.1,50.57,19,1,0,7.537,6.208,6.405,34.183,1,1,-1.54,6.27,0.826,0.0054,20.1,Moderate,Traffic,12.28,21.43,0.0226,0.177,0.0014,0,Normal,Normal,1.76,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 20:00:00+00:00,New York,3.41,10.43,54,9.44,20.2,24.7,18.22,20,0,0,7.297,5.718,6.274,33.658,1,1,-5.06,-32.35,0.357,0.0158,7.69,Low,Traffic,12.08,21.43,0.0091,0.0638,0.004,0,Normal,Normal,-0.728,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 21:00:00+00:00,New York,2.97,11.43,51,10.28,20.5,25.0,18.0,21,0,0,4.95,5.52,6.137,32.377,-1,1,-0.44,-0.22,0.286,0.0,7.09,Low,Traffic,11.87,21.43,0.0079,0.063,0.0,0,Normal,Normal,-0.722,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 22:00:00+00:00,New York,7.37,11.51,62,4.8,20.6,25.3,18.58,22,0,0,4.583,6.06,6.282,32.153,-1,-1,4.4,0.58,1.504,0.1638,12.56,Low,Traffic,12.15,21.43,0.0196,0.065,0.041,0,Normal,Normal,-0.711,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-27 23:00:00+00:00,New York,8.09,11.9,66,4.52,19.1,25.2,24.21,23,0,0,6.143,6.72,6.457,28.98,1,-1,0.72,5.63,1.751,0.1983,15.59,Low,Traffic,12.39,21.43,0.0216,0.0847,0.0496,0,Normal,Normal,-0.255,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 00:00:00+00:00,New York,9.44,12.6,57,5.11,22.5,28.0,19.64,0,0,1,8.3,6.625,6.614,24.87,1,-1,1.35,-4.57,1.812,0.1275,12.58,Low,Traffic,12.48,21.43,0.0252,0.0687,0.0319,0,Normal,Normal,-0.613,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 01:00:00+00:00,New York,8.37,13.36,55,4.32,25.3,27.6,8.33,1,0,1,8.633,6.608,6.693,17.83,1,-1,-1.07,-11.31,1.894,0.1593,9.13,Low,Weather,12.56,21.43,0.0223,0.0292,0.0398,0,Normal,Normal,-1.471,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 02:00:00+00:00,New York,10.44,14.3,57,3.14,22.4,27.9,19.71,2,0,1,9.417,7.78,6.932,18.078,1,-1,2.07,11.38,3.222,0.2683,16.39,Low,Traffic,12.95,21.43,0.0278,0.069,0.0671,0,Normal,Normal,-0.6,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 03:00:00+00:00,New York,8.35,12.83,61,4.48,23.3,27.9,16.49,3,0,1,9.053,8.677,7.017,17.827,1,-1,-2.09,-3.22,1.823,0.1779,12.45,Low,Traffic,12.94,21.43,0.0223,0.0577,0.0445,0,Normal,Normal,-0.808,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 04:00:00+00:00,New York,9.08,13.13,60,3.65,25.0,27.8,10.07,4,0,1,9.29,8.962,7.137,16.408,1,-1,0.73,-6.42,2.421,0.2346,11.8,Low,Weather,13.02,21.43,0.0242,0.0352,0.0586,0,Normal,Normal,-1.236,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 05:00:00+00:00,New York,10.58,12.54,55,3.18,19.5,25.3,22.92,5,0,1,9.337,9.377,7.347,16.193,1,-1,1.5,12.85,3.226,0.2508,17.11,Low,Traffic,13.43,21.43,0.0282,0.0802,0.0627,0,Normal,Normal,-0.289,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 06:00:00+00:00,New York,9.55,12.29,61,2.95,21.8,24.5,11.02,6,0,1,9.737,9.395,7.513,14.757,1,-1,-1.03,-11.9,3.131,0.3192,14.39,Low,Weather,13.66,21.43,0.0255,0.0386,0.0798,0,Normal,Normal,-1.168,1,2026-03-27 07:00:00+00:00,False,,,
2026-03-28 07:00:00+00:00,New York,14.63,11.78,63,2.77,11.9,24.5,51.43,7,1,1,11.587,10.438,7.642,21.94,1,1,5.08,40.41,5.098,0.3605,30.91,Moderate,Traffic,14.06,30.91,0.039,0.18,0.0901,0,Normal,Normal,1.867,0,,False,,,
2026-03-28 08:00:00+00:00,New York,13.59,10.99,62,3.37,12.4,24.2,48.76,8,1,1,12.59,10.963,7.749,26.782,1,1,-1.04,-2.67,3.916,0.2741,27.54,Moderate,Traffic,14.35,30.91,0.0362,0.1707,0.0685,0,Normal,Normal,1.632,0,,False,,,
2026-03-28 09:00:00+00:00,New York,14.48,8.43,62,4.04,14.5,25.3,42.69,9,1,1,14.233,11.985,7.944,31.148,1,1,0.89,-6.07,3.498,0.2129,24.12,Moderate,Traffic,14.5,30.91,0.0386,0.1494,0.0532,0,Normal,Normal,1.24,0,,False,,,
2026-03-28 10:00:00+00:00,New York,9.28,9.07,70,4.15,21.6,24.8,12.9,10,0,1,12.45,12.018,8.08,31.62,1,1,-5.2,-29.79,2.184,0.2445,13.1,Low,Weather,14.51,30.91,0.0248,0.0451,0.0611,0,Normal,Normal,-0.953,0,,False,,,
2026-03-28 11:00:00+00:00,New York,9.28,8.63,68,4.3,20.5,25.2,18.65,11,0,1,11.013,11.802,8.22,30.908,1,1,0.0,5.75,2.109,0.223,14.59,Low,Traffic,14.63,30.91,0.0248,0.0653,0.0558,0,Normal,Normal,-0.496,0,,False,,,
2026-03-28 12:00:00+00:00,New York,8.3,8.34,59,4.55,21.5,25.6,16.02,12,0,1,8.953,11.593,8.346,31.742,-1,1,-0.98,-2.63,1.785,0.1645,11.93,Low,Traffic,14.77,30.91,0.0221,0.0561,0.0411,0,Normal,Normal,-0.687,0,,False,,,
2026-03-28 13:00:00+00:00,New York,7.9,7.68,61,4.77,21.5,25.5,15.69,13,0,1,8.493,10.472,8.432,25.785,-1,-1,-0.4,-0.33,1.622,0.1611,11.63,Low,Traffic,14.78,30.91,0.0211,0.0549,0.0403,0,Normal,Normal,-0.676,0,,False,,,
2026-03-28 14:00:00+00:00,New York,8.51,6.85,62,5.22,21.2,25.5,16.86,14,0,1,8.237,9.625,8.522,20.468,-1,-1,0.61,1.17,1.6,0.1426,11.73,Low,Traffic,14.86,30.91,0.0227,0.059,0.0356,0,Normal,Normal,-0.574,0,,False,,,
2026-03-28 15:00:00+00:00,New York,6.82,7.39,63,5.18,20.8,24.6,15.45,15,0,1,7.743,8.348,8.632,15.928,-1,-1,-1.69,-1.41,1.292,0.1485,10.94,Low,Traffic,14.87,30.91,0.0182,0.0541,0.0371,0,Normal,Normal,-0.639,0,,False,,,
2026-03-28 16:00:00+00:00,New York,7.93,7.95,63,5.19,22.0,24.6,10.57,16,0,1,7.753,8.123,8.791,15.54,-1,-1,1.11,-4.88,1.499,0.148,9.52,Low,Traffic,14.92,30.91,0.0212,0.037,0.037,0,Normal,Normal,-0.945,0,,False,,,
2026-03-28 17:00:00+00:00,New York,12.41,8.22,58,5.72,13.4,25.4,47.24,17,1,1,9.053,8.645,9.136,20.305,-1,-1,4.48,36.67,2.132,0.1069,22.51,Moderate,Traffic,15.16,30.91,0.0331,0.1653,0.0267,0,Normal,Normal,1.608,0,,False,,,
2026-03-28 18:00:00+00:00,New York,11.13,8.65,62,5.39,14.2,25.2,43.65,18,1,1,10.49,9.117,9.182,24.91,1,1,-1.28,-3.59,2.027,0.135,21.63,Moderate,Traffic,15.29,30.91,0.0297,0.1528,0.0338,0,Normal,Normal,1.364,0,,False,,,
2026-03-28 19:00:00+00:00,New York,10.4,9.24,61,6.39,14.5,24.6,41.06,19,1,1,11.313,9.533,9.263,29.138,1,1,-0.73,-2.59,1.602,0.0949,19.51,Low,Traffic,15.27,30.91,0.0277,0.1437,0.0237,0,Normal,Normal,1.269,0,,False,,,
2026-03-28 20:00:00+00:00,New York,9.15,10.31,61,4.41,20.0,25.3,20.95,20,0,1,10.227,9.64,9.502,29.82,1,1,-1.25,-20.11,2.029,0.1822,14.33,Low,Traffic,15.55,30.91,0.0244,0.0733,0.0456,0,Normal,Normal,-0.208,0,,False,,,
2026-03-28 21:00:00+00:00,New York,7.2,11.02,63,5.24,21.2,24.7,14.17,21,0,1,8.917,9.703,9.678,29.607,1,1,-1.95,-6.78,1.348,0.1457,10.52,Low,Traffic,15.69,30.91,0.0192,0.0496,0.0364,0,Normal,Normal,-0.687,0,,False,,,
2026-03-28 22:00:00+00:00,New York,8.23,9.0,60,6.26,20.1,25.3,20.55,22,0,1,8.193,9.753,9.714,31.27,1,1,1.03,6.38,1.294,0.0957,11.78,Low,Traffic,15.66,30.91,0.022,0.0719,0.0239,0,Normal,Normal,-0.23,0,,False,,,
2026-03-28 23:00:00+00:00,New York,8.07,9.56,61,6.06,22.2,24.8,10.48,23,0,1,7.833,9.03,9.713,25.143,-1,-1,-0.16,-10.07,1.31,0.1056,8.46,Low,Traffic,15.36,30.91,0.0215,0.0367,0.0264,0,Normal,Normal,-0.904,0,,False,,,
2026-03-29 00:00:00+00:00,New York,11.78,10.36,57,4.13,23.5,27.6,14.86,0,0,1,9.36,9.138,9.811,20.345,-1,-1,3.71,4.38,2.785,0.1812,12.87,Low,Traffic,15.37,30.91,0.0314,0.052,0.0453,0,Normal,Normal,-0.574,0,,False,,,
2026-03-29 01:00:00+00:00,New York,9.58,11.0,57,5.14,26.1,28.1,7.12,1,0,1,9.81,9.002,9.861,14.688,-1,-1,-2.2,-7.74,1.828,0.1262,8.21,Low,Weather,15.33,30.91,0.0256,0.0249,0.0316,0,Normal,Normal,-1.115,0,,False,,,
2026-03-29 02:00:00+00:00,New York,11.14,11.73,52,4.72,21.7,27.2,20.22,2,0,1,10.833,9.333,9.89,14.567,1,-1,1.56,13.1,2.311,0.1243,13.16,Low,Traffic,15.2,30.91,0.0297,0.0708,0.0311,0,Normal,Normal,-0.19,0,,False,,,
2026-03-29 03:00:00+00:00,New York,10.59,10.01,57,4.95,23.6,27.8,15.11,3,0,1,10.437,9.898,9.984,14.723,1,-1,-0.55,-5.11,2.097,0.1349,11.48,Low,Traffic,15.16,30.91,0.0282,0.0529,0.0337,0,Normal,Normal,-0.546,0,,False,,,
2026-03-29 04:00:00+00:00,New York,10.96,9.85,58,3.87,22.0,27.3,19.41,4,0,1,10.897,10.353,10.062,14.533,1,-1,0.37,4.3,2.761,0.2052,14.84,Low,Traffic,15.28,30.91,0.0292,0.0679,0.0513,0,Normal,Normal,-0.275,0,,False,,,
2026-03-29 05:00:00+00:00,New York,9.62,9.83,54,4.54,21.0,25.3,17.0,5,0,1,10.39,10.612,10.022,15.62,1,1,-1.34,-2.41,2.073,0.1423,12.07,Low,Traffic,15.07,30.91,0.0256,0.0595,0.0356,0,Normal,Normal,-0.429,0,,False,,,
2026-03-29 06:00:00+00:00,New York,10.86,8.88,57,2.75,22.8,25.0,8.8,6,0,1,10.48,10.458,10.077,14.61,1,-1,1.24,-8.2,3.811,0.3192,13.96,Low,Weather,15.06,30.91,0.029,0.0308,0.0798,0,Normal,Normal,-1.002,0,,False,,,
2026-03-29 07:00:00+00:00,New York,18.11,8.18,61,2.89,9.2,25.0,63.2,7,1,1,12.863,11.88,10.222,23.957,1,1,7.25,54.4,6.057,0.3277,35.14,Moderate,Traffic,15.23,35.14,0.0483,0.2212,0.0819,1,Moderate,Spike,2.608,1,2026-03-29 07:00:00+00:00,False,,,
2026-03-29 08:00:00+00:00,New York,15.17,7.9,59,4.23,10.3,25.3,59.29,8,1,1,14.713,12.552,10.288,30.468,1,1,-2.94,-3.91,3.503,0.1844,29.4,Moderate,Traffic,15.31,35.14,0.0404,0.2075,0.0461,1,Moderate,Spike,2.195,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 09:00:00+00:00,New York,13.71,7.06,58,3.47,11.4,25.5,55.29,9,1,1,15.663,13.072,10.255,37.165,1,1,-1.46,-4.0,3.84,0.2398,29.01,Moderate,Traffic,15.51,35.14,0.0366,0.1935,0.06,0,Normal,Normal,1.822,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 10:00:00+00:00,New York,9.0,6.91,59,5.53,22.9,25.5,10.2,10,0,1,12.627,12.745,10.244,35.63,1,1,-4.71,-45.09,1.599,0.1178,8.91,Low,Traffic,15.34,35.14,0.024,0.0357,0.0294,0,Normal,Normal,-0.823,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 11:00:00+00:00,New York,9.02,5.01,64,4.47,20.5,24.2,15.29,11,0,1,10.577,12.645,10.233,35.345,1,1,0.02,5.09,1.974,0.1924,12.56,Low,Traffic,15.25,35.14,0.024,0.0535,0.0481,0,Normal,Normal,-0.515,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 12:00:00+00:00,New York,9.12,5.11,55,6.01,23.8,26.4,9.85,12,0,1,9.047,12.355,10.267,35.52,-1,-1,0.1,-5.44,1.493,0.0865,8.04,Low,Traffic,15.09,35.14,0.0243,0.0345,0.0216,0,Normal,Normal,-0.809,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 13:00:00+00:00,New York,8.07,4.4,68,5.88,20.5,24.4,15.98,13,0,1,8.737,10.682,10.274,27.65,-1,-1,-1.05,6.13,1.349,0.1366,11.16,Low,Traffic,15.07,35.14,0.0215,0.0559,0.0342,0,Normal,Normal,-0.456,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 14:00:00+00:00,New York,8.38,5.24,63,5.49,20.7,26.0,20.38,14,0,1,8.523,9.55,10.269,21.165,-1,-1,0.31,4.4,1.499,0.1345,12.73,Low,Traffic,15.11,35.14,0.0224,0.0713,0.0336,0,Normal,Normal,-0.21,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 15:00:00+00:00,New York,9.8,4.22,62,5.52,20.9,25.0,16.4,15,0,1,8.75,8.898,10.393,14.683,-1,-1,1.42,-3.98,1.744,0.1295,11.59,Low,Traffic,15.14,35.14,0.0261,0.0574,0.0324,0,Normal,Normal,-0.444,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 16:00:00+00:00,New York,9.05,5.21,65,4.93,20.5,24.9,17.67,16,0,1,9.077,8.907,10.44,15.928,-1,-1,-0.75,1.27,1.799,0.1695,12.83,Low,Traffic,15.28,35.14,0.0241,0.0618,0.0424,0,Normal,Normal,-0.391,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 17:00:00+00:00,New York,12.56,5.94,64,6.47,11.7,25.2,53.57,17,1,1,10.47,9.497,10.446,22.308,-1,1,3.51,35.9,1.912,0.1022,24.66,Moderate,Traffic,15.37,35.14,0.0335,0.1875,0.0256,0,Normal,Normal,1.659,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 18:00:00+00:00,New York,11.67,6.06,56,5.93,9.8,25.0,60.8,18,1,1,11.093,9.922,10.468,30.8,1,1,-0.89,7.23,1.935,0.0925,26.7,Moderate,Traffic,15.58,35.14,0.0311,0.2128,0.0231,0,Normal,Normal,1.909,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 19:00:00+00:00,New York,14.97,7.5,63,5.32,10.4,25.5,59.22,19,1,1,13.067,11.072,10.659,38.007,1,1,3.3,-1.58,2.762,0.142,28.27,Moderate,Traffic,15.94,35.14,0.0399,0.2073,0.0355,0,Normal,Normal,1.691,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 20:00:00+00:00,New York,9.35,7.54,57,6.0,22.4,24.9,10.04,20,0,1,11.997,11.233,10.667,36.283,1,1,-5.62,-49.18,1.533,0.0938,8.34,Low,Traffic,15.7,35.14,0.0249,0.0351,0.0234,0,Normal,Normal,-0.785,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 21:00:00+00:00,New York,9.81,9.31,57,5.86,22.8,24.7,7.69,21,0,1,11.377,11.235,10.776,34.832,1,1,0.46,-2.35,1.646,0.0984,7.77,Low,Traffic,15.58,35.14,0.0262,0.0269,0.0246,0,Normal,Normal,-0.881,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 22:00:00+00:00,New York,12.21,8.96,49,1.23,23.7,25.6,7.42,22,0,1,10.457,11.762,10.942,33.123,1,-1,2.4,-0.27,9.18,0.6756,22.75,Moderate,Weather,16.04,35.14,0.0326,0.026,0.1689,0,Normal,Normal,-0.854,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-29 23:00:00+00:00,New York,12.73,9.55,50,1.23,19.3,25.0,22.8,23,0,1,11.583,11.79,11.136,27.995,1,-1,0.52,15.38,9.571,0.6915,28.67,Moderate,Weather,16.88,35.14,0.034,0.0798,0.1729,0,Normal,Normal,-0.125,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 00:00:00+00:00,New York,12.19,10.34,50,1.23,24.2,28.0,13.57,0,0,0,12.377,11.877,11.153,20.123,1,-1,-0.54,-9.23,9.165,0.6915,25.29,Moderate,Weather,17.4,35.14,0.0325,0.0475,0.1729,0,Normal,Normal,-0.58,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 01:00:00+00:00,New York,12.53,10.04,50,1.23,22.7,28.0,18.93,1,0,0,12.483,11.47,11.276,13.408,-1,-1,0.34,5.36,9.421,0.6915,27.26,Moderate,Weather,18.19,35.14,0.0334,0.0663,0.1729,0,Normal,Normal,-0.344,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 02:00:00+00:00,New York,10.81,10.39,55,1.23,23.9,28.2,15.25,2,0,0,11.843,11.713,11.262,14.277,-1,-1,-1.72,-3.68,8.128,0.771,27.5,Moderate,Weather,18.79,35.14,0.0288,0.0534,0.1928,0,Normal,Normal,-0.517,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 03:00:00+00:00,New York,12.33,10.71,53,1.23,20.6,27.0,23.7,3,0,0,11.89,12.133,11.335,16.945,1,-1,1.52,8.45,9.271,0.7392,30.07,Moderate,Weather,19.56,35.14,0.0329,0.083,0.1848,0,Normal,Normal,-0.111,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 04:00:00+00:00,New York,11.68,10.22,53,1.23,21.7,27.3,20.51,4,0,0,11.607,12.045,11.365,19.127,1,1,-0.65,-3.19,8.782,0.7392,28.78,Moderate,Weather,20.14,35.14,0.0312,0.0718,0.1848,0,Normal,Normal,-0.275,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 05:00:00+00:00,New York,19.43,8.82,52,1.23,8.8,25.5,65.49,5,0,0,14.48,13.162,11.773,26.242,1,1,7.75,44.98,14.609,0.7233,46.18,High,Traffic,21.57,46.18,0.0518,0.2292,0.1808,0,Normal,Normal,1.764,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 06:00:00+00:00,New York,25.65,8.31,53,1.23,22.5,25.7,12.45,6,0,0,18.92,15.405,12.39,26.055,1,1,6.22,-53.04,19.286,0.7392,29.68,Moderate,Weather,22.22,46.18,0.0684,0.0436,0.1848,0,Normal,Normal,-0.741,2,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 07:00:00+00:00,New York,36.84,7.96,54,1.23,16.3,26.0,37.31,7,1,0,27.307,19.457,13.17,29.118,1,1,11.19,24.86,27.699,0.7551,41.76,High,Weather,22.5,46.18,0.0982,0.1306,0.1888,0,Normal,Normal,0.516,1,2026-03-29 08:00:00+00:00,False,,,
2026-03-30 08:00:00+00:00,New York,29.24,6.76,56,1.23,16.0,24.8,35.48,8,1,0,30.577,22.528,13.756,32.49,1,1,-7.6,-1.83,21.985,0.787,39.9,Moderate,Weather,22.93,46.18,0.078,0.1242,0.1968,0,Normal,Normal,0.502,0,,False,,,
2026-03-30 09:00:00+00:00,New York,18.5,6.86,54,1.23,15.4,25.0,38.4,9,1,0,28.193,23.557,13.956,34.94,1,1,-10.74,2.92,13.91,0.7551,37.25,Moderate,Weather,23.28,46.18,0.0493,0.1344,0.1888,0,Normal,Normal,0.728,0,,False,,,
2026-03-30 10:00:00+00:00,New York,4.99,5.79,53,6.77,19.1,24.9,23.29,10,0,0,17.577,22.442,13.789,35.403,1,1,-13.51,-15.11,0.726,0.0593,10.96,Low,Traffic,23.36,46.18,0.0133,0.0815,0.0148,0,Normal,Normal,-0.148,0,,False,,,
2026-03-30 11:00:00+00:00,New York,1.55,4.75,52,8.86,19.9,24.4,18.44,11,0,0,8.347,19.462,13.478,27.562,-1,-1,-3.44,-4.85,0.173,0.0188,7.33,Low,Traffic,23.14,46.18,0.0041,0.0645,0.0047,0,Normal,Normal,-0.432,0,,False,,,
